unique_registration_roll_number,student_id,certificate_serial_number,institute_type,institute_name,institute_website,accreditation_statement,credential_category,credential_title,issuance_date,convocation_date,year,marks_percent,marks_removed_flag,num_subjects,signed_hash_present,ocr_vs_meta_name_match,ocr_vs_meta_institute_match,ela_score,image_complexity_kb,label,tamper_type,image_file,meta_file,logo_file
ROLL1592693,STU943665,4D1B4ECD474B4A1D,IIT,IIT Tirupati,https://www.iittirupati.edu.in,Recognized by Ministry of Education,Diploma,Diploma in Civil Engineering,17-01-2010,17-01-2010,2021,61.09,0,8,1,89,80,10.02,275.71,genuine,,images/ROLL1592693.jpg,metadata/ROLL1592693.json,logos/IIT_Tirupati_logo.png
ROLL2394914,STU486301,3E6576AD2E5A478E,IIT,IIT Delhi,https://home.iitd.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,B.Tech Electronics,11-09-2011,10-09-2013,2016,76.32,0,12,1,83,86,18.22,680.31,genuine,,images/ROLL2394914.jpg,metadata/ROLL2394914.json,logos/IIT_Delhi_logo.png
ROLL1678659,STU371743,3F2DCAF5FD6D4860,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,Institutes of National Importance (Act of Parliament),Degree,MBA,01-05-2013,01-05-2015,2015,86.06,0,7,1,59,51,27.02270489,125.22,tampered,metadata_mismatch,images/ROLL1678659.jpg,metadata/ROLL1678659.json,logos/NIT_Kurukshetra_logo.png
ROLL9931468,STU258966,2E215C472E394BC4,NIT,NIT Warangal,https://www.nitwarangal.edu.in,Recognized by Ministry of Education,Degree,M.Tech Computer Science,02-10-2021,02-10-2021,2019,79.07,0,6,1,81,90,11.89,625.84,genuine,,images/ROLL9931468.jpg,metadata/ROLL9931468.json,logos/NIT_Warangal_logo.png
ROLL9919094,STU593082,5C1372E6BADC43C0,NIT,NIT Trichy,https://www.nittrichy.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,01-05-2023,01-05-2023,2015,,1,,1,87,80,8.99,639.32,genuine,,images/ROLL9919094.jpg,metadata/ROLL9919094.json,logos/NIT_Trichy_logo.png
ROLL8342436,STU153702,DBDD8083CBC145A4,IIT,IIT Madras,https://www.iitmadras.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Workshop: Data Science Bootcamp,16-10-2023,15-11-2023,2020,,1,,1,87,91,12.26,488.94,genuine,,images/ROLL8342436.jpg,metadata/ROLL8342436.json,logos/IIT_Madras_logo.png
ROLL6181658,STU318595,928417D81E0F48F3,PRIVATE,IIIT Bangalore (Private),https://www.iiitbangalore(private).edu.in,Accredited by AICTE,Degree,MBA,21-05-2025,21-05-2026,2013,54.09,0,9,1,84,94,4.92,570.51,genuine,,images/ROLL6181658.jpg,metadata/ROLL6181658.json,logos/IIIT_Bangalore_(Private)_logo.png
ROLL4588293,STU336270,3FE050778756487F,IIT,IIT Ropar,https://www.iitropar.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,15-04-2015,15-05-2015,2010,72.77,0,11,1,94,94,12.09,197.85,genuine,,images/ROLL4588293.jpg,metadata/ROLL4588293.json,logos/IIT_Ropar_logo.png
ROLL9349522,STU818180,333CD590AE304CD7,NIT,NIT Calicut,https://www.nitcalicut.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,11-05-2015,10-05-2016,2022,56.59,0,12,0,89,89,11.23,532.16,genuine,,images/ROLL9349522.jpg,metadata/ROLL9349522.json,logos/NIT_Calicut_logo.png
ROLL2382748,STU641610,923F7BD6B5324264,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,Institutes of National Importance (Act of Parliament),Diploma,Diploma in Civil Engineering,12-12-2013,12-12-2013,2013,64.48,0,8,1,57,76,25.84964079,682.91,tampered,metadata_mismatch,images/ROLL2382748.jpg,metadata/ROLL2382748.json,logos/NIT_Kurukshetra_logo.png
ROLL5635247,STU106133,2873802383E24EDF,IIT,IIT Delhi,https://home.iitd.ac.in/,Recognized by Ministry of Education,Diploma,Diploma in Civil Engineering,30-07-2014,26-01-2015,2020,67.68,0,11,1,93,86,18.85,888.82,genuine,,images/ROLL5635247.jpg,metadata/ROLL5635247.json,logos/IIT_Delhi_logo.png
ROLL1277638,STU929394,75A0171376DD4863,IIT,IIT Indore,https://www.iitindore.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,20-04-2025,20-04-2027,2014,,1,,1,91,85,7.14,268.09,genuine,,images/ROLL1277638.jpg,metadata/ROLL1277638.json,logos/IIT_Indore_logo.png
ROLL8384636,STU203104,63701A8CE8E5498D,IIIT,IIIT Bangalore,https://www.iiitbangalore.edu.in,Recognized by Ministry of Education,Diploma,PG Diploma in AI & ML,20-06-2019,20-06-2019,2018,63.7,0,10,1,81,89,17.29,486.04,genuine,,images/ROLL8384636.jpg,metadata/ROLL8384636.json,logos/IIIT_Bangalore_logo.png
ROLL3000420,STU982444,4D0729A89A534E9C,IIT,IIT Tirupati,https://www.iittirupati.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Workshop: Data Science Bootcamp,28-04-2010,25-10-2010,2023,65.45,0,6,0,94,84,13.17,700.88,genuine,,images/ROLL3000420.jpg,metadata/ROLL3000420.json,logos/IIT_Tirupati_logo.png
ROLL5527530,STU622002,02A24E12D9E54D49,IIT,IIT Indore,https://www.iitindore.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,12-10-2017,12-10-2017,2015,,1,,0,86,80,6.42,580.43,genuine,,images/ROLL5527530.jpg,metadata/ROLL5527530.json,logos/IIT_Indore_logo.png
ROLL3300472,STU615467,D95B406B84154D83,IIIT,IIIT Delhi,https://www.iiitdelhi.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,01-11-2023,31-10-2025,2019,87.87,0,2,1,93,88,8.62,427.56,genuine,,images/ROLL3300472.jpg,metadata/ROLL3300472.json,logos/IIIT_Delhi_logo.png
ROLL5957373,STU791094,1F5BD2AA7EFA4591,PRIVATE,Amrita Vishwa Vidyapeetham,https://www.amritavishwavidyapeetham.edu.in,Accredited by AICTE,ShortCourse,Summer School: Embedded Systems,24-04-2018,24-04-2018,2017,83.66,0,2,1,94,98,19.03,198.36,genuine,,images/ROLL5957373.jpg,metadata/ROLL5957373.json,logos/Amrita_Vishwa_Vidyapeetham_logo.png
ROLL4608315,STU709237,72ECF1B4565A4514,IIT,IIT Bombay,https://www.iitbombay.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,24-01-2017,24-01-2018,2020,74.1,0,8,1,92,91,19.09,879.7,genuine,,images/ROLL4608315.jpg,metadata/ROLL4608315.json,logos/IIT_Bombay_logo.png
ROLL3031071,STU475861,BB64712F9EAE49B8,IIIT,IIIT Allahabad,https://www.iiitallahabad.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,25-09-2014,25-09-2014,2024,65.39,0,6,1,85,81,4.32,522.26,genuine,,images/ROLL3031071.jpg,metadata/ROLL3031071.json,logos/IIIT_Allahabad_logo.png
ROLL1791248,STU805481,036177797F804D4E,IIT,IIT Roorkee,https://www.iitr.ac.in/,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,21-07-2010,20-08-2010,2017,64.3,0,11,0,95,82,2.64,402.4,genuine,,images/ROLL1791248.jpg,metadata/ROLL1791248.json,logos/IIT_Roorkee_logo.png
ROLL9556843,STU667810,08AA6E387BD44BFE,NIT,MNNIT  Allahabad,https://www.mnnit.ac.in/,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,02-10-2014,31-03-2015,2025,73.99,0,6,1,80,95,8.38,846.5,genuine,,images/ROLL9556843.jpg,metadata/ROLL9556843.json,logos/NIT_Allahabad_logo.png
ROLL6562356,STU261995,B11D756B58A04955,NIT,NIT Durgapur,https://www.nitdurgapur.edu.in,Recognized by Ministry of Education,Degree,B.Tech Electronics,30-09-2015,30-10-2015,2020,61.5,0,7,1,97,83,14.88,407.72,genuine,,images/ROLL6562356.jpg,metadata/ROLL6562356.json,logos/NIT_Durgapur_logo.png
ROLL5242262,STU794432,C3C83F1253F6456A,GFTI,BPUT,https://www.bput.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Online Course: Deep Learning Specialization,03-04-2021,03-05-2021,2019,78.33,0,4,0,87,97,3.96,531.4,genuine,,images/ROLL5242262.jpg,metadata/ROLL5242262.json,logos/BPUT_logo.png
ROLL2829839,STU284884,9F84965827B14883,PRIVATE,SRM University,https://www.srmuniversity.edu.in,Recognized by Ministry of Education,Degree,B.Tech Electronics,09-09-2021,09-10-2021,2023,63.95,0,7,0,93,88,4.18,306.48,genuine,,images/ROLL2829839.jpg,metadata/ROLL2829839.json,logos/SRM_University_logo.png
ROLL2642542,STU846122,317885B1FC444EBA,NIT,NIT Jamshedpur,https://www.nitjamshedpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,M.Tech Computer Science,12-12-2016,12-12-2016,2018,70.19,0,8,1,90,95,12.6,310.67,genuine,,images/ROLL2642542.jpg,metadata/ROLL2642542.json,logos/NIT_Jamshedpur_logo.png
ROLL8269210,STU283881,458F6F9E71824256,NIT,NIT Hamirpur,https://www.nithamirpur.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,06-09-2014,06-10-2014,2025,68.53,0,4,1,91,86,41.81290555,1029.890374,tampered,marks_changed,images/ROLL8269210.jpg,metadata/ROLL8269210.json,logos/NIT_Hamirpur_logo.png
ROLL1078159,STU197665,46BDFDE778AC44D0,PRIVATE,Amrita Vishwa Vidyapeetham,https://www.amritavishwavidyapeetham.edu.in,Recognized by Ministry of Education,Degree,B.Tech Electronics,16-01-2015,15-07-2015,2014,89.14,0,6,1,95,85,17.15,110.38,genuine,,images/ROLL1078159.jpg,metadata/ROLL1078159.json,logos/Amrita_Vishwa_Vidyapeetham_logo.png
ROLL1420508,STU493511,8F203ABC2B34445A,IIT,IIT Bombay,https://www.iitbombay.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,23-03-2013,23-03-2013,2013,,1,,0,81,98,10.12,879.68,genuine,,images/ROLL1420508.jpg,metadata/ROLL1420508.json,logos/IIT_Bombay_logo.png
ROLL5169532,STU225611,D0CF9F9C5F4F4F68,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Degree,M.Tech Computer Science,28-08-2025,28-08-2026,2023,72.19,0,11,1,93,84,19.06,469.37,genuine,,images/ROLL5169532.jpg,metadata/ROLL5169532.json,logos/NIT_Kurukshetra_logo.png
ROLL5585063,STU344879,6D851B7F72D046B4,IIT,IIT Kharagpur,https://www.iitkharagpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,PG Diploma in AI & ML,23-09-2012,23-10-2012,2016,99.49,0,11,1,90,92,6.32,314.53,genuine,,images/ROLL5585063.jpg,metadata/ROLL5585063.json,logos/IIT_Kharagpur_logo.png
ROLL2827970,STU201748,053F1351197C4246,IIT,IIT Jodhpur,https://www.iitjodhpur.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,18-09-2024,18-09-2024,2010,,1,,1,89,90,9.56,835.75,genuine,,images/ROLL2827970.jpg,metadata/ROLL2827970.json,logos/IIT_Jodhpur_logo.png
ROLL7147581,STU273444,625F9333DACC4A5A,NIT,NIT Hamirpur,https://www.nithamirpur.edu.in,Institutes of National Importance (Act of Parliament),Degree,B.Tech Computer Science,12-12-2012,12-12-2012,2019,74.92,0,12,1,92,95,3.87,708.85,genuine,,images/ROLL7147581.jpg,metadata/ROLL7147581.json,logos/NIT_Hamirpur_logo.png
ROLL3594861,STU288194,1614FB5C461D464B,NIT,NIT Hamirpur,https://www.nithamirpur.edu.in,Institutes of National Importance (Act of Parliament),ShortCourse,Summer School: Embedded Systems,01-04-2017,01-04-2018,2024,,1,,1,87,95,9.44,537.45,genuine,,images/ROLL3594861.jpg,metadata/ROLL3594861.json,logos/NIT_Hamirpur_logo.png
ROLL5170927,STU178246,6F1752AC3E0140A0,NIT,NIT Silchar,https://www.nitsilchar.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,Diploma in Civil Engineering,12-07-2025,11-08-2025,2012,63.39,0,12,0,86,98,16.34,652.6,genuine,,images/ROLL5170927.jpg,metadata/ROLL5170927.json,logos/NIT_Silchar_logo.png
ROLL2715108,STU650710,345F01B631874E9A,NIT,NIT Patna,https://www.nitpatna.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,03-03-2017,03-03-2018,2024,92.45,0,4,0,90,88,14.35,293.9,genuine,,images/ROLL2715108.jpg,metadata/ROLL2715108.json,logos/NIT_Patna_logo.png
ROLL2630399,STU949952,2096E83BE58446AC,PRIVATE,SRM University,https://www.srmuniversity.edu.in,Accredited by AICTE,Degree,B.Tech Computer Science,29-01-2024,29-01-2024,2021,62.25,0,12,1,98,92,13.99,214.53,genuine,,images/ROLL2630399.jpg,metadata/ROLL2630399.json,logos/SRM_University_logo.png
ROLL1434513,STU982130,45DA3054C7A54D13,IIT,IIT Bhilai,https://www.iitbhilai.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,26-03-2015,25-04-2015,2015,,1,,0,86,86,16.64,735.29,tampered,marks_changed,images/ROLL1434513.jpg,metadata/ROLL1434513.json,logos/IIT_Bhilai_logo.png
ROLL4888577,STU338270,2E04D840E3D941D9,PRIVATE,SRM University,https://www.srmuniversity.edu.in,Accredited by ABET,Diploma,Diploma in Civil Engineering,06-12-2024,04-06-2025,2015,42.91,0,12,1,97,95,18.78,210.95,genuine,,images/ROLL4888577.jpg,metadata/ROLL4888577.json,logos/SRM_University_logo.png
ROLL6404897,STU547210,86678432389A4913,IIT,IIT Delhi,https://home.iitd.ac.in/,Institutes of National Importance (Act of Parliament),Degree,B.Tech Electronics,23-09-2014,23-09-2015,2015,73.4,0,11,1,91,90,17.99,720.98,genuine,,images/ROLL6404897.jpg,metadata/ROLL6404897.json,logos/IIT_Delhi_logo.png
ROLL4316016,STU630777,6D32698FAE74462A,NIT,NIT Hamirpur,https://www.nithamirpur.edu.in,Institutes of National Importance (Act of Parliament),Degree,MBA,22-08-2017,22-08-2017,2013,73.82,0,7,1,90,82,19.54,889.6,genuine,,images/ROLL4316016.jpg,metadata/ROLL4316016.json,logos/NIT_Hamirpur_logo.png
ROLL9020715,STU123237,71360B7B31394D3F,PRIVATE,BITS Pilani,https://www.bitspilani.edu.in,Accredited by AICTE,Degree,B.Tech Computer Science,26-11-2025,26-11-2025,2018,63.42,0,6,1,96,95,13.85,120.89,genuine,,images/ROLL9020715.jpg,metadata/ROLL9020715.json,logos/BITS_Pilani_logo.png
ROLL2056453,STU921916,DBB49E4268524FAE,GFTI,BCECE,https://www.bcece.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,15-08-2022,14-08-2024,2015,91.2,0,3,0,88,80,14.24,813.93,genuine,,images/ROLL2056453.jpg,metadata/ROLL2056453.json,logos/BCECE_logo.png
ROLL6382000,STU445823,DABE721C4E294D96,IIT,IIT Patna,https://www.iitpatna.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,04-11-2025,04-12-2025,2023,79.03,0,5,1,96,91,7.43,206.9,genuine,,images/ROLL6382000.jpg,metadata/ROLL6382000.json,logos/IIT_Patna_logo.png
ROLL3758990,STU668510,76B88B66E66047DC,NIT,NIT Kurukshetra International,https://www.nitkurukshetra.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Workshop: Data Science Bootcamp,16-07-2015,15-07-2016,2014,,1,,1,97,67,30.10609616,683.53,tampered,inst_name_changed,images/ROLL3758990.jpg,metadata/ROLL3758990.json,logos/NIT_Kurukshetra_International_logo.png
ROLL9593015,STU781525,AB05B59994E34243,IIT,IIT Bombay,https://www.iitbombay.edu.in,Institutes of National Importance (Act of Parliament),ShortCourse,Summer School: Embedded Systems,02-03-2010,02-03-2010,2020,,1,4,1,85,84,18.51015055,304.48,tampered,marks_removed,images/ROLL9593015.jpg,metadata/ROLL9593015.json,logos/IIT_Bombay_logo.png
ROLL7275118,STU684749,4ECE8AF6F1744654,IIT,IIT Hyderabad,https://www.iith.ac.in/,Recognized by Ministry of Education,Degree,M.Tech Computer Science,21-02-2025,21-02-2025,2015,44.48,0,10,1,81,95,28.5626809,479.0171946,tampered,marks_changed,images/ROLL7275118.jpg,metadata/ROLL7275118.json,logos/IIT_Hyderabad_logo.png
ROLL3814780,STU785878,A7891604C94D454A,IIT,IIT Madras,https://www.iitmadras.edu.in,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,19-02-2024,18-02-2026,2020,61.48,0,6,0,84,95,14.62,584.99,genuine,,images/ROLL3814780.jpg,metadata/ROLL3814780.json,logos/IIT_Madras_logo.png
ROLL7712737,STU565045,8349E99F6DC34931,IIT,IIT Indore,https://www.iitindore.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Workshop: Data Science Bootcamp,14-02-2018,14-02-2018,2022,83.78,0,3,1,81,80,6.98,699.45,genuine,,images/ROLL7712737.jpg,metadata/ROLL7712737.json,logos/IIT_Indore_logo.png
ROLL8079261,STU872124,F783C2625D6D417A,GFTI,MNNIT  Allahabad,https://www.mnnit.ac.in/,Accredited by AICTE,Diploma,PG Diploma in AI & ML,19-04-2012,19-04-2012,2025,61.54,0,6,1,98,89,15.69,812.44,genuine,,images/ROLL8079261.jpg,metadata/ROLL8079261.json,logos/MNNIT_Allahabad_logo.png
ROLL8306676,STU673884,0FF8EF7D3BA943DA,IIT,IIT Roorkee,https://www.iitr.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",ShortCourse,Summer School: Embedded Systems,12-10-2024,12-10-2024,2021,,1,,0,90,94,25.92324817,369.35,tampered,marks_removed,images/ROLL8306676.jpg,metadata/ROLL8306676.json,logos/IIT_Roorkee_logo.png
ROLL5471458,STU871464,C8610C814F7D4DF1,PRIVATE,SRM University,https://www.srmuniversity.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Workshop: Data Science Bootcamp,12-12-2011,12-12-2011,2019,,1,,0,80,96,19.93,674.12,genuine,,images/ROLL5471458.jpg,metadata/ROLL5471458.json,logos/SRM_University_logo.png
ROLL5005405,STU881904,0371F13EC67D4705,NIT,MNNIT  Allahabad,https://www.mnnit.ac.in/,Recognized by Ministry of Education,Certificate,Online Course: Deep Learning Specialization,12-02-2012,12-02-2012,2022,,1,,0,96,96,8.97,811.13,genuine,,images/ROLL5005405.jpg,metadata/ROLL5005405.json,logos/NIT_Allahabad_logo.png
ROLL2413513,STU375553,A9455412B1084211,IIT,IIT Bhubaneswar,https://www.iitbhubaneswar.edu.in,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,05-10-2011,04-10-2012,2010,85.97,0,7,1,94,92,3.33,116.59,genuine,,images/ROLL2413513.jpg,metadata/ROLL2413513.json,logos/IIT_Bhubaneswar_logo.png
ROLL8896257,STU366397,5D5774829C6C4152,IIIT,IIIT Guwahati,https://www.iiitguwahati.edu.in,Recognized by Ministry of Education,Degree,MBA,20-03-2018,20-03-2018,2023,64.95,0,6,1,95,95,12.54,471.22,genuine,,images/ROLL8896257.jpg,metadata/ROLL8896257.json,logos/IIIT_Guwahati_logo.png
ROLL7596620,STU191377,6F9004ED443D4FFD,NIT,NIT Kurukshetra,https://www.nitkurukshetra.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Diploma,PG Diploma in AI & ML,07-03-2020,07-03-2020,2012,78.96,0,6,1,85,85,4.46,748.88,genuine,,images/ROLL7596620.jpg,metadata/ROLL7596620.json,logos/NIT_Kurukshetra_logo.png
ROLL7499939,STU891132,7404D89734404546,IIT,IIT Dhanbad,https://www.iitism.ac.in/,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Online Course: Deep Learning Specialization,26-07-2013,26-07-2013,2023,,1,,1,86,85,8.03,573.31,genuine,,images/ROLL7499939.jpg,metadata/ROLL7499939.json,logos/IIT_Dhanbad_logo.png
ROLL2967992,STU819414,5E5C03C25293420F,NIT,NIT Calicut,https://www.nitcalicut.edu.in,Recognized by Ministry of Education,Degree,MBA,28-11-2025,28-11-2025,2017,70.59,0,9,1,97,94,9.98,607.66,genuine,,images/ROLL2967992.jpg,metadata/ROLL2967992.json,logos/NIT_Calicut_logo.png
ROLL1456101,STU475848,CD3CDA834F0D43FE,NIT,NIT Silchar,https://www.nitsilchar.edu.in,Institutes of National Importance (Act of Parliament),Diploma,Diploma in Civil Engineering,30-06-2013,30-06-2013,2012,74.55,0,7,0,93,90,5.97,745.74,genuine,,images/ROLL1456101.jpg,metadata/ROLL1456101.json,logos/NIT_Silchar_logo.png
ROLL2248021,STU118236,09C8810331484009,IIT,IIT Delhi,https://home.iitd.ac.in/,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,31-03-2017,31-03-2017,2014,77.18,0,12,1,81,94,5.33,699.15,genuine,,images/ROLL2248021.jpg,metadata/ROLL2248021.json,logos/IIT_Delhi_logo.png
ROLL2323601,STU504085,E83B5748EC21416F,GFTI,BPUT,https://www.bput.edu.in,Accredited by NAAC A Grade,Certificate,Online Course: Deep Learning Specialization,16-02-2025,16-02-2026,2022,,1,,1,88,96,10.54,203.01,genuine,,images/ROLL2323601.jpg,metadata/ROLL2323601.json,logos/BPUT_logo.png
ROLL6746265,STU934957,94E636E978014058,NIT,NIT Durgapur,https://www.nitdurgapur.edu.in,Institutes of National Importance (Act of Parliament),Certificate,Professional Certificate: Cloud Architect,25-07-2013,25-07-2013,2011,,1,,1,85,84,5.33,719.93,genuine,,images/ROLL6746265.jpg,metadata/ROLL6746265.json,logos/NIT_Durgapur_logo.png
ROLL6243372,STU924635,0504E08DEA1B401D,NIT,NIT Manipur,https://www.nitmanipur.edu.in,Recognized by Ministry of Education,Certificate,Professional Certificate: Cloud Architect,10-07-2011,06-01-2012,2025,87.38,0,3,0,87,91,7.1,792.43,genuine,,images/ROLL6243372.jpg,metadata/ROLL6243372.json,logos/NIT_Manipur_logo.png
ROLL2871978,STU784253,780974D8A37E4B1A,NIT,NIT Srinagar International,https://www.nitsrinagar.edu.in,Recognized by Ministry of Education,Degree,M.Tech Computer Science,15-11-2024,15-11-2024,2022,81.48,0,11,1,92,68,15.88718726,547.31,tampered,inst_name_changed,images/ROLL2871978.jpg,metadata/ROLL2871978.json,logos/NIT_Srinagar_International_logo.png
ROLL1903438,STU678418,E748FC12582A4707,PRIVATE,Amrita Vishwa Vidyapeetham,https://www.amritavishwavidyapeetham.edu.in,Recognized by Ministry of Education,Certificate,Online Course: Deep Learning Specialization,16-05-2018,15-06-2018,2021,,1,,0,98,90,4.61,509.39,genuine,,images/ROLL1903438.jpg,metadata/ROLL1903438.json,logos/Amrita_Vishwa_Vidyapeetham_logo.png
ROLL9519615,STU514031,A8F87FA917564920,IIT,IIT Kanpur,https://www.iitkanpur.edu.in,"Declared under Distinct Category by Ministry of Education, Government of India",Certificate,Professional Certificate: Cloud Architect,03-12-2016,03-12-2016,2011,,1,,1,83,85,9.24,302.47,genuine,,images/ROLL9519615.jpg,metadata/ROLL9519615.json,logos/IIT_Kanpur_logo.png
ROLL4509698,STU720707,07AD91254B27406A,IIT,IIT Bhubaneswar,https://www.iitbhubaneswar.edu.in,Institutes of National Importance (Act of Parliament),Degree,M.Tech Computer Science,14-02-2011,16-03-2011,2018,91.44,0,12,1,94,86,13.39,440.89,genuine,,images/ROLL4509698.jpg,metadata/ROLL4509698.json,logos/IIT_Bhubaneswar_logo.png
